Transaction_ID,Amount,Transaction_Type,Merchant,Location,Hour,Day_of_Week,Account_Type,Fraudulent
200,782.0767903990476,Debit,Walmart,Local,5,Friday,Personal,0
201,645.6113296927449,Debit,Walmart,International,8,Sunday,Personal,0
202,93.29856534509834,Credit,Target,International,21,Tuesday,Business,0
203,170.01242695366764,Debit,Walmart,International,7,Tuesday,Personal,0
204,899.5686466418084,Debit,Target,International,14,Friday,Personal,0
205,610.3647691,Credit,Amazon,Local,21,Friday,Personal,0
206,19.10508110046335,Credit,Walmart,Local,5,Sunday,Personal,0
207,110.45682743737179,Credit,Amazon,International,22,Sunday,Business,0
208,666.8667514169753,Debit,Target,Local,10,Tuesday,Personal,0
209,15.01096801,Debit,Target,Local,9,Tuesday,Business,0
210,169.19997090332367,Debit,Walmart,International,10,Sunday,Personal,0
211,553.2464514729203,Debit,Walmart,International,3,Monday,Business,0
212,694.9762457157664,Credit,Target,Local,12,Wednesday,Business,0
213,655.4416469075745,Debit,Walmart,International,7,Saturday,Personal,0
214,232.0266163659542,Credit,Walmart,International,19,Monday,Personal,1
215,715.0574291340605,Credit,Amazon,International,14,Thursday,Personal,0
216,244.87659662183208,Credit,Target,International,6,Thursday,Personal,0
217,332.14570117767505,Credit,Amazon,International,0,Wednesday,Business,0
218,749.0264910668438,Debit,Walmart,International,8,Saturday,Business,0
219,653.1365700567425,Credit,Amazon,International,22,Friday,Personal,0
220,850.7311763892361,Debit,Target,International,7,Thursday,Business,0
221,661.0367634,Credit,Amazon,International,1,Friday,Business,0
222,572.6255173021169,Credit,Amazon,Local,13,Friday,Personal,0
223,102.73802014981155,Credit,Walmart,International,11,Monday,Personal,0
224,374.0386450288392,Debit,Target,International,22,Friday,Business,0
225,272.5503440049082,Credit,Walmart,International,16,Wednesday,Personal,0
226,251.54974694529275,Credit,Walmart,Local,18,Monday,Personal,0
227,973.2804492049211,Credit,Target,International,5,Wednesday,Business,0
228,399.1667474200928,Credit,Amazon,International,20,Friday,Business,0
229,893.1260896253422,Debit,Walmart,Local,4,Thursday,Personal,1
230,634.8272397372903,Debit,Amazon,Local,5,Saturday,Business,1
231,796.8631905,Credit,Target,International,2,Friday,Business,1
232,507.61072217414016,Credit,Walmart,Local,15,Wednesday,Personal,0
233,581.1348457800955,Debit,Amazon,Local,17,Tuesday,Business,0
234,497.59251688067525,Debit,Amazon,Local,13,Tuesday,Personal,0
235,203.29055792006406,Debit,Walmart,Local,14,Thursday,Personal,0
236,725.2275941088902,Credit,Target,Local,3,Sunday,Business,0
237,287.96463881644723,Debit,Amazon,International,10,Saturday,Business,0
238,34.07280677,Credit,Target,Local,4,Wednesday,Personal,0
239,649.0175729480961,Debit,Walmart,International,8,Thursday,Business,0
240,185.33957261297846,Debit,Amazon,International,4,Monday,Business,0
241,941.0539985093851,Credit,Amazon,International,6,Friday,Personal,0
242,954.3892912325615,Debit,Amazon,Local,17,Sunday,Business,0
243,915.7157463,Credit,Target,International,17,Monday,Business,0
244,376.45711325288994,Debit,Amazon,Local,19,Tuesday,Business,0
245,25.302050363578754,Credit,Amazon,International,23,Friday,Personal,0
246,929.0353769618481,Debit,Walmart,International,1,Monday,Business,0
247,433.9023068341412,Debit,Amazon,International,22,Tuesday,Personal,0
248,966.9882708532328,Credit,Target,Local,12,Saturday,Business,0
249,963.9837773183604,Credit,Walmart,International,12,Monday,Business,0
250,854.4793609126865,Credit,Walmart,Local,16,Friday,Personal,0
251,301.5044031488898,Credit,Amazon,Local,21,Monday,Business,0
252,391.2467513,Debit,Walmart,Local,16,Sunday,Business,0
253,852.6253048016883,Debit,Amazon,International,5,Sunday,Business,0
254,323.75278510471486,Debit,Walmart,International,13,Friday,Personal,0
255,177.79781921923157,Debit,Target,International,20,Monday,Personal,0
256,561.2332498337666,Debit,Amazon,International,13,Thursday,Personal,0
257,936.7932264191732,Debit,Target,Local,11,Saturday,Business,0
258,699.0694987082233,Credit,Amazon,International,4,Monday,Personal,0
259,574.3605583884713,Debit,Target,Local,4,Monday,Business,0
260,106.20472883306086,Debit,Target,Local,3,Sunday,Business,0
261,618.8571544,Credit,Walmart,International,22,Sunday,Personal,1
262,990.1533116032207,Debit,Amazon,International,12,Thursday,Personal,0
263,148.6831750841588,Debit,Walmart,Local,3,Sunday,Business,0
264,523.1463558400993,Debit,Target,Local,17,Tuesday,Personal,0
265,878.5993412086759,Credit,Amazon,International,15,Friday,Personal,0
266,743.3609315766624,Credit,Target,International,17,Wednesday,Business,0
267,700.0455835853153,Debit,Target,International,1,Tuesday,Business,0
268,705.4592431472382,Credit,Target,Local,22,Friday,Business,0
269,365.89623970755764,Debit,Target,Local,3,Monday,Personal,0
270,300.6559258218484,Debit,Walmart,International,19,Tuesday,Business,0
271,811.2675439237285,Debit,Target,Local,16,Monday,Personal,0
272,812.0122607,Credit,Walmart,Local,19,Tuesday,Business,0
273,868.4015953943026,Debit,Target,Local,5,Tuesday,Personal,0
274,914.1081470309066,Debit,Amazon,Local,17,Wednesday,Personal,0
275,516.2289748723284,Debit,Target,International,19,Thursday,Business,0
276,506.5011317403276,Debit,Target,Local,6,Tuesday,Personal,0
277,800.3122271771074,Debit,Amazon,International,12,Sunday,Personal,0
278,653.4642914699875,Credit,Amazon,International,8,Monday,Personal,0
279,704.9472084851263,Debit,Target,Local,1,Wednesday,Business,0
280,797.8347427,Credit,Target,International,7,Tuesday,Personal,0
281,891.1052883993906,Debit,Walmart,International,13,Sunday,Business,0
282,344.61520528302043,Credit,Amazon,International,21,Thursday,Business,0
283,381.8271231135446,Debit,Amazon,Local,23,Monday,Personal,0
284,103.04212044246032,Debit,Walmart,International,17,Wednesday,Personal,0
285,582.4973395862122,Credit,Target,Local,0,Friday,Business,0
286,45.582851058774665,Credit,Target,International,22,Saturday,Business,0
287,470.94203795113555,Debit,Amazon,International,8,Thursday,Personal,0
288,547.2181883605009,Credit,Walmart,International,8,Sunday,Business,0
289,293.67583960700154,Credit,Target,International,1,Friday,Business,0
290,594.9249279633207,Debit,Amazon,Local,15,Friday,Business,0
291,40.195247439658935,Debit,Target,International,3,Wednesday,Personal,0
292,46.974706861722275,Debit,Target,International,12,Wednesday,Personal,0
293,824.3745550530617,Debit,Target,International,16,Wednesday,Business,0
294,366.58873499715025,Debit,Amazon,Local,10,Sunday,Personal,0
295,135.78990752536595,Credit,Walmart,Local,22,Sunday,Personal,0
296,527.0208274542563,Debit,Walmart,International,1,Friday,Business,0
297,772.2936175676248,Credit,Target,International,3,Saturday,Business,1
298,223.66281722187475,Debit,Walmart,International,11,Monday,Personal,0
299,626.6615710608103,Debit,Target,International,1,Wednesday,Personal,0
300,94.49399034383032,Credit,Amazon,Local,0,Thursday,Personal,0
301,61.16490395692162,Debit,Amazon,Local,22,Wednesday,Personal,0
302,536.0410852524665,Credit,Amazon,Local,5,Saturday,Personal,0
303,545.2287703940054,Credit,Target,International,15,Wednesday,Personal,0
304,641.0556024832244,Credit,Walmart,International,1,Saturday,Personal,0
305,728.8304203854349,Debit,Amazon,International,13,Wednesday,Business,0
306,976.0935586679093,Debit,Target,International,19,Friday,Personal,0
307,521.1373448181834,Debit,Walmart,Local,11,Saturday,Personal,0
308,329.7269082118335,Debit,Walmart,Local,18,Monday,Personal,0
309,797.2343328210167,Debit,Walmart,Local,2,Wednesday,Personal,0
310,278.12392874945346,Debit,Target,International,18,Friday,Business,0
311,444.58170649857976,Credit,Target,International,10,Thursday,Business,0
312,87.67181752884329,Debit,Target,International,3,Monday,Business,0
313,35.09723598130294,Debit,Amazon,International,16,Friday,Personal,0
314,963.0219305311458,Debit,Target,International,16,Saturday,Personal,0
315,837.6203193070837,Debit,Amazon,Local,6,Tuesday,Business,0
316,699.014464,Credit,Amazon,International,4,Thursday,Business,0
317,414.86341497012717,Credit,Amazon,International,18,Thursday,Personal,0
318,181.5613768701373,Credit,Target,Local,20,Tuesday,Personal,0
319,164.8726722443752,Credit,Amazon,Local,18,Friday,Personal,0
320,257.74046918294937,Credit,Target,International,8,Friday,Business,0
321,553.7343980590592,Debit,Target,Local,16,Sunday,Personal,0
322,717.4499634730618,Credit,Amazon,International,8,Saturday,Business,0
323,663.595403,Credit,Amazon,International,13,Thursday,Business,0
324,287.1345579764834,Debit,Amazon,Local,4,Sunday,Business,0
325,955.3166278565621,Debit,Target,International,21,Friday,Personal,0
326,740.5179475288109,Credit,Target,International,1,Tuesday,Personal,0
327,558.8105119862867,Debit,Amazon,International,23,Sunday,Business,0
328,615.6035387720087,Debit,Amazon,Local,14,Friday,Business,0
329,425.40406180351204,Credit,Walmart,Local,15,Thursday,Business,0
330,255.25367960614588,Debit,Amazon,Local,18,Friday,Personal,0
331,362.41295186474895,Credit,Walmart,Local,0,Monday,Personal,0
332,760.2676493597254,Credit,Walmart,International,22,Tuesday,Personal,0
333,24.24955374345831,Debit,Target,Local,11,Tuesday,Business,0
334,124.91191410184707,Credit,Target,International,18,Wednesday,Personal,0
335,55.54261560153522,Credit,Walmart,Local,19,Friday,Personal,0
336,50.32151429578043,Debit,Walmart,Local,14,Saturday,Personal,0
337,856.9059781708971,Debit,Amazon,International,4,Tuesday,Personal,0
338,706.6212807862235,Debit,Walmart,Local,0,Friday,Business,0
339,479.4320907964519,Debit,Amazon,Local,10,Monday,Personal,0
340,106.85581904449147,Credit,Target,International,8,Sunday,Personal,0
341,496.6997164,Debit,Amazon,Local,6,Thursday,Business,0
342,478.73705307276003,Debit,Target,International,1,Thursday,Business,0
343,181.46985121091504,Credit,Walmart,Local,16,Wednesday,Personal,0
344,439.5131327455933,Credit,Walmart,International,15,Wednesday,Personal,0
345,404.5196870533997,Credit,Walmart,Local,15,Saturday,Business,0
346,619.6915970716943,Credit,Amazon,International,13,Tuesday,Business,0
347,638.7427143589673,Debit,Target,Local,1,Saturday,Personal,0
348,54.85096967432407,Debit,Target,International,18,Tuesday,Personal,1
349,380.8664884802065,Credit,Target,Local,2,Tuesday,Personal,0
350,629.6013166,Credit,Target,Local,7,Monday,Business,0
351,508.10489599428684,Credit,Target,Local,20,Wednesday,Business,0
352,857.9249428,Credit,Amazon,International,18,Wednesday,Personal,0
353,662.1066953027556,Debit,Target,International,15,Thursday,Personal,0
354,171.3050828106154,Credit,Walmart,Local,21,Wednesday,Business,0
355,79.86305992642555,Debit,Target,Local,3,Wednesday,Business,0
356,645.9950854242525,Credit,Walmart,Local,7,Monday,Business,0
357,36.24619743620559,Debit,Amazon,Local,0,Saturday,Business,0
358,589.9178254607286,Debit,Amazon,Local,3,Tuesday,Personal,0
359,940.8279390107081,Debit,Walmart,Local,6,Saturday,Personal,0
360,579.7194360971201,Debit,Target,Local,0,Sunday,Business,0
361,394.2882269444567,Credit,Amazon,Local,23,Sunday,Business,0
362,646.8553362579296,Debit,Amazon,Local,17,Monday,Business,0
363,463.6703615866015,Credit,Amazon,Local,3,Friday,Business,0
364,550.1606214227755,Debit,Target,International,19,Thursday,Personal,0
365,942.0501606887599,Debit,Walmart,International,13,Thursday,Business,0
366,392.2416114227665,Credit,Walmart,Local,7,Thursday,Personal,0
367,961.5786581856751,Credit,Target,Local,17,Saturday,Personal,0
368,906.2971355365031,Debit,Amazon,Local,6,Tuesday,Personal,0
369,203.83322344140348,Debit,Target,International,2,Tuesday,Personal,0
370,78.66768787,Credit,Target,International,20,Tuesday,Personal,0
371,109.77022136365238,Debit,Walmart,Local,13,Thursday,Business,0
372,28.03960739503423,Credit,Target,Local,11,Thursday,Personal,0
373,103.49853114836911,Credit,Target,Local,14,Saturday,Business,0
374,686.1767056821933,Credit,Amazon,International,7,Saturday,Business,0
375,80.47676198,Debit,Amazon,International,4,Sunday,Personal,0
376,325.7858739908237,Debit,Walmart,International,16,Thursday,Business,0
377,846.4265579,Credit,Amazon,International,9,Friday,Business,0
378,33.03921637846761,Credit,Target,Local,10,Friday,Business,0
379,816.3237977630464,Credit,Target,Local,22,Sunday,Personal,0
380,289.03622702566594,Credit,Target,Local,15,Saturday,Personal,0
381,126.9831793454397,Debit,Walmart,Local,15,Thursday,Personal,1
382,699.7697937105091,Credit,Amazon,Local,3,Tuesday,Business,0
383,632.6534183120851,Debit,Target,International,22,Tuesday,Business,0
384,878.6972933917824,Credit,Amazon,Local,4,Friday,Business,0
385,737.7203334,Debit,Amazon,Local,9,Friday,Business,0
386,805.4461210810001,Debit,Amazon,International,13,Thursday,Personal,0
387,289.21422684559343,Debit,Amazon,Local,8,Thursday,Personal,0
388,185.6651483419256,Debit,Walmart,Local,17,Tuesday,Personal,0
389,753.1086041244497,Debit,Walmart,Local,19,Saturday,Business,0
390,808.7663918745914,Credit,Walmart,International,5,Wednesday,Business,0
391,990.6000905806666,Credit,Target,Local,10,Saturday,Business,0
392,418.4915001423122,Debit,Target,International,20,Sunday,Business,0
393,378.29790493485535,Credit,Target,International,16,Tuesday,Personal,0
394,778.6488311345769,Credit,Walmart,International,8,Saturday,Business,0
395,347.39550485048767,Credit,Amazon,International,2,Tuesday,Personal,0
396,931.4497523,Credit,Walmart,Local,15,Thursday,Personal,0
397,859.8286243245817,Credit,Target,International,19,Wednesday,Business,0
398,434.70408710126816,Credit,Target,Local,3,Wednesday,Personal,0
399,753.3623571135824,Credit,Amazon,International,23,Sunday,Personal,0
400,756.9974453438356,Debit,Walmart,Local,21,Thursday,Business,1
401,112.09263014757329,Credit,Amazon,Local,14,Monday,Personal,0
402,903.5273776,Credit,Walmart,Local,1,Thursday,Business,0
403,510.1998487233786,Credit,Target,Local,19,Friday,Business,0
404,828.1928914466642,Debit,Amazon,Local,16,Saturday,Personal,0
405,326.8491050203056,Debit,Amazon,Local,18,Wednesday,Business,0
406,896.5679962112384,Credit,Walmart,Local,19,Sunday,Personal,0
407,395.3096619468215,Debit,Walmart,Local,15,Thursday,Personal,0
408,20.729274965495378,Debit,Walmart,Local,23,Tuesday,Personal,0
409,906.3281567,Credit,Target,Local,18,Tuesday,Personal,1
410,100.37381001827222,Debit,Walmart,International,20,Saturday,Personal,0
411,326.12050121451074,Credit,Target,Local,16,Tuesday,Personal,0
412,950.5613473802969,Debit,Walmart,Local,3,Sunday,Business,0
413,951.1010754681805,Credit,Walmart,Local,17,Thursday,Personal,0
414,577.7035092420532,Debit,Target,International,3,Monday,Personal,0
415,635.5188400481013,Credit,Walmart,International,20,Sunday,Business,0
416,453.96106675853656,Credit,Target,Local,2,Friday,Business,0
417,300.27866398108387,Debit,Target,Local,21,Tuesday,Personal,0
418,335.3778999162168,Credit,Walmart,International,17,Thursday,Business,0
